Enter the spring constant (in N/m): 
Enter the mass (in kg): 
Enter the initial displacement (in m): 
Enter the simulation time (in s): 
Enter the time step (in s): 
Time (s)		Position (m)
14.3			0.06522292503
14.4			0.07547717071
14.5			-0.06597296615
14.6			-0.07482157595
14.7			0.06671649241
14.8			0.07415859253
14.9			-0.0674534304
15			-0.07348828592
15.1			0.06818370732
15.2			0.07281072231
15.3			-0.06890725108
15.4			-0.07212596862
15.5			0.06962399022
15.6			0.07143409245
15.7			-0.07033385396
15.8			-0.07073516213
15.9			0.0710367722
16			0.07002924669
16.1			-0.07173267553
16.2			-0.06931641584
16.3			0.07242149524
16.4			0.06859673996
16.5			-0.07310316328
16.6			-0.06787029012
16.7			0.07377761236
16.8			0.06713713806
16.9			-0.07444477588
17			-0.06639735618
17.1			0.07510458793
17.2			0.06565101754
17.3			-0.07575698338
17.4			-0.06489819583
17.5			0.0764018978
17.6			0.0641389654
17.7			-0.0770392675
17.8			-0.06337340121
17.9			0.07766902954
18			0.06260157888
18.1			-0.07829112172
18.2			-0.06182357462
18.3			0.07890548263
18.4			0.06103946525
18.5			-0.07951205159
18.6			-0.06024932821
18.7			0.0801107687
18.8			0.05945324153
18.9			-0.08070157484
19			-0.05865128381
19.1			0.08128441167
19.2			0.05784353425
19.3			-0.08185922162
19.4			-0.05703007262
19.5			0.08242594795
19.6			0.05621097925
19.7			-0.08298453468
19.8			-0.05538633502
19.9			0.08353492665
20			0.05455622137
20.1			-0.08407706951
20.2			-0.05372072026
20.3			0.08461090973
20.4			0.05287991422
20.5			-0.08513639458
20.6			-0.05203388626
20.7			0.08565347218
20.8			0.05118271993
20.9			-0.08616209147
21			-0.05032649929
21.1			0.08666220221
21.2			0.04946530888
21.3			-0.08715375502
21.4			-0.04859923376
21.5			0.08763670137
21.6			0.04772835944
21.7			-0.08811099355
21.8			-0.04685277192
21.9			0.08857658474
22			0.04597255768
22.1			-0.08903342895
22.2			-0.04508780362
22.3			0.08948148108
22.4			0.04419859713
22.5			-0.08992069687
22.6			-0.04330502601
22.7			0.09035103296
22.8			0.0424071785
22.9			-0.09077244684
23			-0.04150514326
23.1			0.09118489691
23.2			0.04059900937
23.3			-0.09158834243
23.4			-0.03968886631
23.5			0.09198274356
23.6			0.03877480396
23.7			-0.09236806136
23.8			-0.03785691258
23.9			0.09274425778
24			0.03693528282
24.1			-0.09311129566
24.2			-0.03601000568
24.3			0.09346913876
24.4			0.03508117254
24.5			-0.09381775175
24.6			-0.03414887512
24.7			0.0941571002
24.8			0.03321320549
24.9			-0.09448715059
25			-0.03227425603
25.1			0.09480787034
25.2			0.03133211948
25.3			-0.09511922777
25.4			-0.03038688887
25.5			0.09542119214
25.6			0.02943865754
25.7			-0.09571373362
25.8			-0.02848751913
25.9			0.09599682334
26			0.02753356757
26.1			-0.09627043333
26.2			-0.02657689706
26.3			0.09653453657
26.4			0.02561760207
26.5			-0.09678910699
26.6			-0.02465577733
26.7			0.09703411944
26.8			0.02369151782
26.9			-0.09726954974
27			-0.02272491876
27.1			0.09749537463
27.2			0.02175607561
27.3			-0.0977115718
27.4			-0.02078508403
27.5			0.09791811992
27.6			0.01981203992
27.7			-0.09811499859
27.8			-0.01883703937
27.9			0.09830218836
28			0.01786017865
28.1			-0.09847967074
28.2			-0.01688155422
28.3			0.09864742822
28.4			0.01590126274
28.5			-0.09880544423
28.6			-0.014919401
28.7			0.09895370315
28.8			0.01393606597
28.9			-0.09909219036
29			-0.01295135474
29.1			0.09922089217
29.2			0.01196536456
29.3			-0.09933979588
29.4			-0.0109781928
29.5			0.09944888974
29.6			0.009989936932
29.7			-0.09954816298
29.8			-0.009000694557
29.9			0.0996376058
30			0.008010563359
